professor,query,rank,result_count,top5,included_top3,included_top5
서정필,2D semiconductor,1,3,서정필 | 조창희 | 김영욱,True,True
서정필,저차원 양자물질,1,10,서정필 | 박기성 | 김영욱 | 권용성 | 김아람,True,True
서정필,low dimensional quantum matter,1,10,서정필 | 김영욱 | 권용성 | 박기성 | 김아람,True,True
서정필,위상물질,1,3,서정필 | 김영욱 | 박기성,True,True
서정필,topological matter,1,3,서정필 | 김영욱 | 박기성,True,True
서정필,초전도체,1,4,서정필 | 권용성 | 박기성 | 김아람,True,True
서정필,superconductors,1,4,서정필 | 권용성 | 박기성 | 김아람,True,True
서정필,고온 초전도체,2,4,권용성 | 서정필 | 박기성 | 김아람,True,True
서정필,high Tc superconductors,1,4,서정필 | 권용성 | 박기성 | 김아람,True,True
서정필,주사터널링현미경,1,3,서정필 | 김영욱 | 박기성,True,True
서정필,scanning tunneling microscopy,1,1,서정필,True,True
서정필,STM,1,3,서정필 | 김영욱 | 박기성,True,True
서정필,중페르미온,1,1,서정필,True,True
서정필,heavy fermion,1,1,서정필,True,True
서정필,국소 상태밀도,1,1,서정필,True,True
성주영,에너지물질 반응동력학,1,4,성주영 | 조창희 | 이신범 | 강준구,True,True
성주영,energy materials dynamics,1,4,성주영 | 이신범 | 조창희 | 강준구,True,True
성주영,광전자 특성,1,4,성주영 | 조창희 | 이신범 | 강준구,True,True
성주영,optoelectronic properties,1,4,성주영 | 조창희 | 이신범 | 강준구,True,True
성주영,시분해 분광,1,3,성주영 | 김소연 | 김종구,True,True
성주영,time-resolved spectroscopy,1,2,성주영 | 김소연,True,True
성주영,공간분해 분광,1,3,성주영 | 김소연 | 김종구,True,True
성주영,space-resolved spectroscopy,1,3,성주영 | 김소연 | 김종구,True,True
성주영,펨토초 분광,1,3,성주영 | 김소연 | 김종구,True,True
성주영,femtosecond spectroscopy,1,3,성주영 | 김소연 | 김종구,True,True
성주영,광물성,1,2,성주영 | 김소연,True,True
성주영,photophysics,1,2,성주영 | 김소연,True,True
성주영,엑시톤 동역학,1,2,성주영 | 김소연,True,True
성주영,exciton dynamics,1,2,성주영 | 김소연,True,True
성주영,캐리어 동역학,1,2,성주영 | 김소연,True,True
성주영,carrier dynamics,1,2,성주영 | 김소연,True,True
성주영,페로브스카이트,1,4,성주영 | 조창희 | 이신범 | 강준구,True,True
성주영,perovskite,1,4,성주영 | 조창희 | 이신범 | 강준구,True,True
성주영,양자점 광물성,1,1,성주영,True,True
성주영,유기반도체 광물성,1,1,성주영,True,True
유천열,스핀정보 나노소자,1,1,유천열,True,True
유천열,spin information nanodevice,1,1,유천열,True,True
유천열,스핀트로닉스,1,3,유천열 | 홍정일 | 김철기,True,True
유천열,spintronics,1,3,유천열 | 홍정일 | 김철기,True,True
유천열,자성 소재,1,3,유천열 | 홍정일 | 권용성,True,True
유천열,magnetic materials,2,2,박기성 | 유천열,True,True
