school,professor,old_summary_length,new_summary_length,display_summary
서울대학교,박형민,225,37,"박형민 교수님은 기계공학, 다상유동, 유동가시화 분야를 연구합니다."
서울대학교,송성진,200,36,"송성진 교수님은 기계공학, 터보기계, 유체기계 분야를 연구합니다."
서울대학교,송한호,216,47,"송한호 교수님은 기계공학, 첨단 에너지 시스템, 자동차 파워트레인 분야를 연구합니다."
서울대학교,신용대,185,38,"신용대 교수님은 기계공학, 세포역학, 바이오시스템 분야를 연구합니다."
서울대학교,안성훈,303,39,"안성훈 교수님은 기계공학, 통합 제조, 스마트 제조 분야를 연구합니다."
서울대학교,양진규,259,37,"양진규 교수님은 기계공학, 파동전파, 포논 결정 분야를 연구합니다."
서울대학교,오주환,203,36,"오주환 교수님은 기계공학, 메타구조, 고체역학 분야를 연구합니다."
서울대학교,윤병동,204,38,"윤병동 교수님은 기계공학, 예지보전, 신뢰성 공학 분야를 연구합니다."
서울대학교,이동준,303,43,"이동준 교수님은 기계공학, 인터랙티브 로봇, 네트워크 로봇 분야를 연구합니다."
서울대학교,이승아,207,41,"이승아 교수님은 기계공학, 광학 이미징, 바이오포토닉스 분야를 연구합니다."
서울대학교,이윤석,361,59,"이윤석 교수님은 고온 리튬 물성 연구, 리튬 접합 시뮬레이션, 배터리 열 및 접합 해석 분야를 연구합니다."
서울대학교,이호원,303,40,"이호원 교수님은 기계공학, 3D 프린팅, 4D 프린팅 분야를 연구합니다."
서울대학교,임종우,247,39,"임종우 교수님은 기계공학, 로봇 비전, 컴퓨터 비전 분야를 연구합니다."
서울대학교,전누리,268,37,"전누리 교수님은 기계공학, 의기계공학, 미세유체 분야를 연구합니다."
서울대학교,조규진,263,41,"조규진 교수님은 기계공학, 생체모사 로봇, 소프트 로봇 분야를 연구합니다."
서울대학교,좌은혁,284,40,"좌은혁 교수님은 기계공학, 자율주행 차량, 차량동역학 분야를 연구합니다."
서울대학교,차석원,302,40,"차석원 교수님은 기계공학, 연료전지, 재생에너지 변환 분야를 연구합니다."
서울대학교,최해천,300,34,"최해천 교수님은 기계공학, 난류, 유동제어 분야를 연구합니다."
서울대학교,한경원,257,40,"한경원 교수님은 기계공학, 헬스케어 로봇, 의료 로봇 분야를 연구합니다."
서울대학교,황원태,302,44,"황원태 교수님은 기계공학, 에너지 환경 유동, 난류 다상유동 분야를 연구합니다."
서울대학교,Uwe R. Fischer,185,64,"Uwe R. Fischer 교수님은 원자 / 분자 및 광 물리, 응집 물질 물리, 양자시뮬레이션 분야를 연구합니다."
서울대학교,강동민,106,48,"강동민 교수님은 핵 / 입자 물리와 우주론, 양자장론, 비섭동 현상 분야를 연구합니다."
서울대학교,강민구,129,40,"강민구 교수님은 응집 물질 물리, 위상물질, 양자물질 분야를 연구합니다."
서울대학교,김기훈,116,49,"김기훈 교수님은 응집 물질 물리, 나노 물리와 나노 광자학, 강상관계 분야를 연구합니다."
서울대학교,김도헌,108,51,"김도헌 교수님은 응집 물질 물리, 나노 물리와 나노 광자학, 반도체 물리 분야를 연구합니다."
서울대학교,김석,149,47,"김석 교수님은 핵 / 입자 물리와 우주론, 양자장론, 비섭동 현상 분야를 연구합니다."
서울대학교,김은종,141,59,"김은종 교수님은 원자 / 분자 및 광 물리, 응집 물질 물리, 나노 물리와 나노 광자학 분야를 연구합니다."
서울대학교,김지훈,154,48,"김지훈 교수님은 핵 / 입자 물리와 우주론, 계산우주론, 은하 형성 분야를 연구합니다."
서울대학교,김창영,118,41,"김창영 교수님은 응집 물질 물리, 강상관계, 상관전자계 분야를 연구합니다."
서울대학교,김형도,187,46,"김형도 교수님은 핵 / 입자 물리와 우주론, 암흑물질, 암흑섹터 분야를 연구합니다."
서울대학교,류제경,101,38,"류제경 교수님은 생물 물리, 생물물리, 바이오물리 분야를 연구합니다."
서울대학교,민홍기,131,49,"민홍기 교수님은 응집 물질 물리, 나노 물리와 나노 광자학, 위상물질 분야를 연구합니다."
서울대학교,박윤,134,52,"박윤 교수님은 응집 물질 물리, 나노 물리와 나노 광자학, 메조스코픽 소자 분야를 연구합니다."
서울대학교,박제근,88,41,"박제근 교수님은 응집 물질 물리, 강상관계, 상관전자계 분야를 연구합니다."
서울대학교,박철환,129,52,"박철환 교수님은 응집 물질 물리, 나노 물리와 나노 광자학, 제일원리 계산 분야를 연구합니다."
서울대학교,박홍규,125,50,"박홍규 교수님은 응집 물질 물리, 생물 물리, 나노 물리와 나노 광자학 분야를 연구합니다."
서울대학교,백용주,112,42,"백용주 교수님은 응집 물질 물리, 통계 물리, 생물 물리 분야를 연구합니다."
서울대학교,신용일,188,50,"신용일 교수님은 원자 / 분자 및 광 물리, 응집 물질 물리, 원자물리 분야를 연구합니다."
서울대학교,양범정,113,39,"양범정 교수님은 응집 물질 물리, 위상물질, 위상상 분야를 연구합니다."
서울대학교,양운기,87,44,"양운기 교수님은 핵 / 입자 물리와 우주론, 중성미자, 힉스 분야를 연구합니다."
서울대학교,유재준,181,39,"유재준 교수님은 응집 물질 물리, 위상물질, 위상상 분야를 연구합니다."
서울대학교,유종희,198,51,"유종희 교수님은 핵 / 입자 물리와 우주론, 실험 입자물리, 입자천체물리 분야를 연구합니다."
서울대학교,이규철,179,51,"이규철 교수님은 응집 물질 물리, 나노 물리와 나노 광자학, 반도체 물리 분야를 연구합니다."
서울대학교,이승섭,102,41,"이승섭 교수님은 응집 물질 물리, 강상관계, 상관전자계 분야를 연구합니다."
서울대학교,이원종,176,45,"이원종 교수님은 핵 / 입자 물리와 우주론, 표준모형, 물리학 분야를 연구합니다."
서울대학교,이지은,127,47,"이지은 교수님은 응집 물질 물리, 나노 물리와 나노 광자학, 자성 분야를 연구합니다."
서울대학교,이탁희,146,51,"이탁희 교수님은 응집 물질 물리, 나노 물리와 나노 광자학, 2차원 물질 분야를 연구합니다."
서울대학교,장소연,136,51,"장소연 교수님은 응집 물질 물리, 나노 물리와 나노 광자학, 2차원 물질 분야를 연구합니다."
서울대학교,장재혁,140,46,"장재혁 교수님은 핵 / 입자 물리와 우주론, 암흑물질, 초기우주 분야를 연구합니다."
서울대학교,장준호,85,39,"장준호 교수님은 응집 물질 물리, 위상물질, 위상상 분야를 연구합니다."
